"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"17357",3977431,40269,"will"," will"," MD",1,0
"17358",3977471,40269,"will"," will"," MD",1,0
"17359",3977516,40269,"will"," will"," MD",1,0
"17360",3977579,40269,"will"," will"," MD",1,0
"17361",3977618,40269,"will"," will"," MD",1,0
"17362",3977876,40271,"will"," will"," MD",1,0
"17363",3977955,40271,"will"," will"," MD",1,0
"17364",3977962,40271,"will"," will"," MD",1,0
"17365",3978573,40278,"will"," will"," MD",1,0
"17366",3979195,40288,"going"," go"," VBG",0,1
"17367",3979710,40293,"will"," will"," MD",1,0
"17368",3979728,40294,"""ll"""," will"," MD",1,0
"17369",3980719,40308,"will"," will"," MD",1,0
"17370",3980799,40312,"will"," will"," MD",1,0
"17371",3980963,40315,"will"," will"," MD",1,0
"17372",3981064,40318,"will"," will"," MD",1,0
"17373",3983027,40364,"will"," will"," MD",1,0
"17374",3983117,40365,"will"," will"," MD",1,0
"17375",3983484,40377,"will"," will"," MD",1,0
"17376",3984571,40403,"going"," go"," VBG",0,1
"17377",3986040,40430,"will"," will"," MD",1,0
"17378",3987132,40461,"will"," will"," MD",1,0
"17379",3987135,40461,"will"," will"," MD",1,0
"17380",3987152,40461,"will"," will"," MD",1,0
"17381",3987487,40472,"will"," will"," MD",1,0
"17382",3989345,40496,"""ll"""," will"," MD",1,0
"17383",3989732,40505,"will"," will"," MD",1,0
"17384",3989738,40505,"will"," will"," MD",1,0
"17385",3990151,40509,"will"," will"," MD",1,0
"17386",3990206,40509,"will"," will"," MD",1,0
"17387",3990524,40512,"will"," will"," MD",1,0
"17388",3990715,40512,"will"," will"," MD",1,0
"17389",3991045,40512,"will"," will"," MD",1,0
"17390",3992341,40520,"will"," will"," MD",1,0
"17391",3993162,40525,"will"," will"," MD",1,0
"17392",3993772,40531,"will"," will"," MD",1,0
"17393",3993809,40531,"will"," will"," MD",1,0
"17394",3993838,40531,"will"," will"," MD",1,0
"17395",3994874,40541,"will"," will"," MD",1,0
"17396",3997468,40581,"going"," go"," VBG",0,1
"17397",3997896,40584,"will"," will"," MD",1,0
"17398",3997930,40584,"will"," will"," MD",1,0
"17399",3998891,40596,"will"," will"," MD",1,0
"17400",3998950,40598,"will"," will"," MD",1,0
"17401",4000062,40646,"will"," will"," MD",1,0
"17402",4000190,40657,"will"," will"," MD",1,0
"17403",4000201,40658,"will"," will"," MD",1,0
"17404",4000285,40660,"will"," will"," MD",1,0
"17405",4000609,40660,"will"," will"," MD",1,0
"17406",4000624,40660,"will"," will"," MD",1,0
"17407",4001197,40662,"will"," will"," MD",1,0
"17408",4001207,40662,"wo"," will"," MD",1,0
"17409",4001437,40663,"will"," will"," MD",1,0
"17410",4001805,40664,"will"," will"," MD",1,0
"17411",4001821,40664,"will"," will"," MD",1,0
"17412",4001937,40664,"will"," will"," MD",1,0
"17413",4002802,40683,"will"," will"," MD",1,0
"17414",4003083,40688,"will"," will"," MD",1,0
"17415",4003088,40689,"will"," will"," MD",1,0
"17416",4003131,40692,"will"," will"," MD",1,0
"17417",4003928,40707,"will"," will"," MD",1,0
