"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"16821",3865441,38521,"will"," will"," MD",1,0
"16822",3865485,38521,"will"," will"," MD",1,0
"16823",3865627,38522,"will"," will"," MD",1,0
"16824",3865738,38522,"will"," will"," MD",1,0
"16825",3865753,38522,"will"," will"," MD",1,0
"16826",3865770,38522,"will"," will"," MD",1,0
"16827",3866376,38523,"wo"," will"," MD",1,0
"16828",3866386,38523,"going"," go"," VBG",0,1
"16829",3866406,38523,"will"," will"," MD",1,0
"16830",3866586,38534,"will"," will"," MD",1,0
"16831",3866594,38534,"will"," will"," MD",1,0
"16832",3866628,38534,"will"," will"," MD",1,0
"16833",3866634,38534,"will"," will"," MD",1,0
"16834",3866655,38534,"will"," will"," MD",1,0
"16835",3867048,38535,"will"," will"," MD",1,0
"16836",3867626,38547,"will"," will"," MD",1,0
"16837",3867799,38555,"going"," go"," VBG",0,1
"16838",3867810,38556,"will"," will"," MD",1,0
"16839",3867986,38564,"going"," go"," VBG",0,1
"16840",3868103,38566,"will"," will"," MD",1,0
"16841",3868120,38566,"will"," will"," MD",1,0
"16842",3868127,38566,"will"," will"," MD",1,0
"16843",3868180,38566,"will"," will"," MD",1,0
"16844",3869658,38586,"will"," will"," MD",1,0
"16845",3870412,38594,"will"," will"," MD",1,0
"16846",3870490,38594,"will"," will"," MD",1,0
"16847",3870503,38594,"""ll"""," will"," MD",1,0
"16848",3870869,38598,"going"," go"," VBG",0,1
"16849",3870999,38599,"will"," will"," MD",1,0
"16850",3871056,38599,"will"," will"," MD",1,0
"16851",3871173,38599,"will"," will"," MD",1,0
